ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
920008.BJ,20260213,30.8,31.35,30.76,30.86,30.76,0.1,0.3251,6855.98,21295.222
920008.BJ,20260212,30.72,31.29,30.67,30.76,30.73,0.03,0.0976,7327.55,22698.013
920008.BJ,20260211,30.64,30.96,30.52,30.73,30.83,-0.1,-0.3244,5054.07,15531.78
920008.BJ,20260210,31.29,31.65,30.73,30.83,30.84,-0.01,-0.0324,7396.73,22934.715
920008.BJ,20260209,30.66,31.12,30.66,30.84,30.41,0.43,1.414,6732.04,20774.541
920008.BJ,20260206,30.27,30.92,30.17,30.41,30.27,0.14,0.4625,5276.9,16165.872
920008.BJ,20260205,30.72,30.72,30.21,30.27,30.72,-0.45,-1.4648,5894.06,17911.929
920008.BJ,20260204,30.46,31.2,30.46,30.72,30.59,0.13,0.425,7993.31,24591.359
920008.BJ,20260203,30.26,30.6,30.12,30.59,30.2,0.39,1.2914,6627.25,20198.899
920008.BJ,20260202,30.39,30.86,30.2,30.2,30.36,-0.16,-0.527,7712.89,23462.095
920008.BJ,20260130,30.48,30.84,30.3,30.36,30.46,-0.1,-0.3283,7816.89,23911.744
920008.BJ,20260129,31.0,31.25,30.46,30.46,31.31,-0.85,-2.7148,10265.1,31633.488
920008.BJ,20260128,32.0,32.0,31.14,31.31,31.93,-0.62,-1.9417,9501.14,29882.107
920008.BJ,20260127,31.71,31.97,30.88,31.93,31.71,0.22,0.6938,11034.82,34676.252
920008.BJ,20260126,32.78,32.92,31.58,31.71,32.65,-0.94,-2.879,13673.01,43748.116
920008.BJ,20260123,32.12,32.99,31.89,32.65,32.13,0.52,1.6184,17730.07,57826.654
920008.BJ,20260122,31.55,32.39,31.52,32.13,31.52,0.61,1.9353,13060.55,41780.354
920008.BJ,20260121,31.63,31.93,31.4,31.52,31.63,-0.11,-0.3478,7150.03,22620.509
920008.BJ,20260120,32.27,32.33,31.6,31.63,32.0,-0.37,-1.1563,9309.57,29620.668
920008.BJ,20260119,32.18,32.8,31.73,32.0,32.5,-0.5,-1.5385,11246.86,36136.107
920008.BJ,20260116,33.01,33.33,32.17,32.5,32.99,-0.49,-1.4853,19284.9,62852.8
920008.BJ,20260115,33.0,33.75,32.56,32.99,33.47,-0.48,-1.4341,21080.17,69540.669
920008.BJ,20260114,33.31,34.95,32.83,33.47,33.21,0.26,0.7829,37792.08,127643.408
920008.BJ,20260113,35.08,35.42,33.0,33.21,35.03,-1.82,-5.1955,36138.2,121846.308
920008.BJ,20260112,32.5,35.9,32.5,35.03,32.79,2.24,6.8314,57248.65,197426.338
920008.BJ,20260109,33.98,34.17,32.58,32.79,33.6,-0.81,-2.4107,40124.47,133581.41
920008.BJ,20260108,31.26,34.7,30.72,33.6,30.88,2.72,8.8083,55870.27,184968.31
920008.BJ,20260107,31.3,31.35,30.6,30.88,31.04,-0.16,-0.5155,13141.06,40693.196
920008.BJ,20260106,30.5,31.13,30.4,31.04,30.6,0.44,1.4379,10989.09,33888.498
920008.BJ,20260105,30.38,30.97,30.12,30.6,30.06,0.54,1.7964,13647.22,41722.365
920008.BJ,20251231,29.95,30.4,29.95,30.06,29.94,0.12,0.4008,7399.37,22336.13
920008.BJ,20251230,30.55,30.66,29.88,29.94,30.45,-0.51,-1.6749,12939.37,39006.376
920008.BJ,20251229,31.04,31.15,30.45,30.45,31.1,-0.65,-2.09,10982.0,33640.8
920008.BJ,20251226,30.66,31.23,30.66,31.1,30.75,0.35,1.1382,9868.14,30588.602
920008.BJ,20251225,30.72,31.26,30.58,30.75,30.72,0.03,0.0977,8912.25,27569.797
920008.BJ,20251224,30.56,30.92,30.33,30.72,30.58,0.14,0.4578,9610.71,29464.727
920008.BJ,20251223,31.25,31.47,30.4,30.58,31.23,-0.65,-2.0813,11469.53,35204.896
920008.BJ,20251222,31.88,31.89,31.12,31.23,31.5,-0.27,-0.8571,9167.69,28784.42
920008.BJ,20251219,31.33,32.08,31.08,31.5,31.29,0.21,0.6711,14155.19,44800.436
920008.BJ,20251218,30.98,31.98,30.71,31.29,30.94,0.35,1.1312,15984.82,50244.952
920008.BJ,20251217,31.7,31.93,30.38,30.94,31.8,-0.86,-2.7044,15500.83,47833.409
920008.BJ,20251216,31.37,31.9,30.95,31.8,31.37,0.43,1.3707,15624.63,49378.74
920008.BJ,20251215,31.48,32.28,31.35,31.37,31.85,-0.48,-1.5071,17142.71,54473.234
920008.BJ,20251212,31.0,32.53,30.7,31.85,30.75,1.1,3.5772,28043.48,89356.845
920008.BJ,20251211,30.33,31.88,30.11,30.75,30.33,0.42,1.3848,22166.25,69147.079
920008.BJ,20251210,30.41,30.7,30.08,30.33,30.51,-0.18,-0.59,8664.03,26319.329
920008.BJ,20251209,31.0,31.36,30.51,30.51,31.35,-0.84,-2.6794,13400.06,41186.917
920008.BJ,20251208,30.95,32.29,30.7,31.35,30.64,0.71,2.3172,15807.95,49892.87
920008.BJ,20251205,30.31,30.85,30.02,30.64,30.24,0.4,1.3228,11030.86,33601.125
920008.BJ,20251204,31.6,31.71,30.2,30.24,31.75,-1.51,-4.7559,20145.56,61736.815
920008.BJ,20251203,32.5,32.6,31.75,31.75,32.5,-0.75,-2.3077,10515.01,33625.808
920008.BJ,20251202,32.72,33.33,32.18,32.5,33.05,-0.55,-1.6641,15158.8,49627.009
920008.BJ,20251201,32.24,33.2,31.68,33.05,32.15,0.9,2.7994,20501.0,67006.71
920008.BJ,20251128,31.9,33.03,31.88,32.15,32.43,-0.28,-0.8634,13784.22,44572.788
920008.BJ,20251127,32.42,33.3,31.95,32.43,32.77,-0.34,-1.0375,16616.84,54077.597
920008.BJ,20251126,33.96,34.08,32.32,32.77,34.16,-1.39,-4.0691,31627.52,104071.781
920008.BJ,20251125,34.24,34.87,33.2,34.16,35.42,-1.26,-3.5573,41559.13,141002.593
920008.BJ,20251124,32.77,36.18,32.68,35.42,33.19,2.23,6.7189,60492.73,210179.995
920008.BJ,20251121,30.08,34.6,30.08,33.19,30.82,2.37,7.6898,57347.16,186888.206
920008.BJ,20251120,31.55,32.39,30.61,30.82,32.04,-1.22,-3.8077,24400.18,77086.388
920008.BJ,20251119,30.28,32.88,29.79,32.04,30.28,1.76,5.8124,33891.79,107079.579
920008.BJ,20251118,31.41,31.49,30.09,30.28,31.28,-1.0,-3.1969,15814.75,48248.327
920008.BJ,20251117,32.32,32.79,31.11,31.28,30.78,0.5,1.6244,25445.61,81257.849
920008.BJ,20251114,30.59,31.26,30.59,30.78,30.67,0.11,0.3587,10594.9,32681.807
920008.BJ,20251113,30.72,30.96,30.45,30.67,30.56,0.11,0.3599,6191.29,18996.538
920008.BJ,20251112,30.77,30.77,30.39,30.56,30.53,0.03,0.0983,5640.68,17244.622
920008.BJ,20251111,31.34,31.34,30.36,30.53,30.95,-0.42,-1.357,6042.96,18565.524
920008.BJ,20251110,30.75,31.24,30.62,30.95,30.8,0.15,0.487,5669.37,17520.423
920008.BJ,20251107,31.29,31.29,30.73,30.8,31.04,-0.24,-0.7732,6097.07,18847.689
920008.BJ,20251106,31.85,31.85,30.88,31.04,31.4,-0.36,-1.1465,6893.5,21482.236
920008.BJ,20251105,30.5,31.66,30.49,31.4,30.99,0.41,1.323,10552.21,33069.769
920008.BJ,20251104,31.6,31.78,30.9,30.99,31.52,-0.53,-1.6815,8799.66,27401.08
920008.BJ,20251103,31.57,32.45,31.51,31.52,32.14,-0.62,-1.9291,11778.99,37443.105
920008.BJ,20251031,32.8,32.99,31.89,32.14,31.85,0.29,0.9105,18688.03,60380.755
920008.BJ,20251030,32.29,32.88,31.66,31.85,32.45,-0.6,-1.849,20670.8,66691.528
920008.BJ,20251029,31.23,32.53,30.41,32.45,31.47,0.98,3.1141,23642.24,74223.64
920008.BJ,20251028,30.99,32.1,30.6,31.47,30.84,0.63,2.0428,16627.9,52338.932
920008.BJ,20251027,30.6,30.95,30.35,30.84,30.85,-0.01,-0.0324,9183.14,28170.767
920008.BJ,20251024,30.38,32.25,30.3,30.85,30.12,0.73,2.4236,21221.06,66579.053
920008.BJ,20251023,30.39,30.41,29.73,30.12,30.24,-0.12,-0.3968,7586.05,22763.004
920008.BJ,20251022,30.21,30.76,30.0,30.24,30.21,0.03,0.0993,8961.55,27242.065
920008.BJ,20251021,29.54,30.27,29.54,30.21,29.39,0.82,2.7901,10249.98,30768.826
920008.BJ,20251020,30.09,30.29,29.39,29.39,29.5,-0.11,-0.3729,7501.23,22394.403
920008.BJ,20251017,30.48,31.03,29.47,29.5,31.0,-1.5,-4.8387,13131.19,39662.016
920008.BJ,20251016,31.58,32.32,31.0,31.0,31.37,-0.37,-1.1795,10966.82,34799.688
920008.BJ,20251015,31.88,31.88,31.02,31.37,31.59,-0.22,-0.6964,7919.9,24852.308
920008.BJ,20251014,32.11,32.3,31.36,31.59,32.09,-0.5,-1.5581,11892.89,37844.578
920008.BJ,20251013,30.9,32.15,30.4,32.09,31.52,0.57,1.8084,14545.38,46074.862
920008.BJ,20251010,31.13,32.0,31.13,31.52,31.08,0.44,1.4157,12375.29,39039.497
920008.BJ,20251009,31.02,31.28,30.3,31.08,30.98,0.1,0.3228,9828.48,30334.385
920008.BJ,20250930,31.18,31.49,30.18,30.98,30.76,0.22,0.7152,10644.63,33059.147
920008.BJ,20250929,31.05,31.87,30.49,30.76,31.2,-0.44,-1.4103,12477.03,38661.256
920008.BJ,20250926,30.31,32.4,29.92,31.2,30.37,0.83,2.733,19613.87,61449.57
920008.BJ,20250925,31.05,31.18,30.33,30.37,31.0,-0.63,-2.0323,6928.93,21370.364
920008.BJ,20250924,30.56,31.15,29.51,31.0,30.48,0.52,1.706,9481.76,29199.517
920008.BJ,20250923,31.68,31.68,29.91,30.48,31.39,-0.91,-2.899,16611.3,50637.826
920008.BJ,20250922,32.65,32.73,31.25,31.39,32.71,-1.32,-4.0355,18132.51,57417.167
920008.BJ,20250919,32.49,33.5,32.36,32.71,32.5,0.21,0.6462,11047.5,36436.718
920008.BJ,20250918,33.03,33.55,32.12,32.5,33.03,-0.53,-1.6046,15032.73,49606.645
920008.BJ,20250917,33.06,33.37,32.86,33.03,33.08,-0.05,-0.1511,10092.09,33427.788
920008.BJ,20250916,33.65,33.65,32.33,33.08,33.42,-0.34,-1.0174,15708.56,51489.813
920008.BJ,20250915,34.25,34.25,33.1,33.42,34.21,-0.79,-2.3093,16402.66,54864.016
920008.BJ,20250912,34.38,34.81,34.09,34.21,34.57,-0.36,-1.0414,12109.75,41825.694
920008.BJ,20250911,33.94,34.6,33.76,34.57,33.93,0.64,1.8862,10702.26,36823.273
920008.BJ,20250910,33.83,34.3,33.77,33.93,33.83,0.1,0.2956,7434.53,25246.613
920008.BJ,20250909,35.19,35.19,33.71,33.83,34.85,-1.02,-2.9268,13905.31,47595.195
920008.BJ,20250908,34.92,35.33,34.5,34.85,34.49,0.36,1.0438,13600.37,47434.447
920008.BJ,20250905,33.87,34.7,33.87,34.49,33.78,0.71,2.1018,14119.05,48574.326
920008.BJ,20250904,34.47,35.13,33.21,33.78,34.58,-0.8,-2.3135,17916.78,61432.428
920008.BJ,20250903,37.6,37.77,34.5,34.58,37.44,-2.86,-7.6389,25434.44,91209.311
920008.BJ,20250902,37.1,37.44,36.0,37.44,36.64,0.8,2.1834,19287.23,71029.354
920008.BJ,20250901,37.5,37.5,36.33,36.64,37.31,-0.67,-1.7958,15356.48,56322.007
920008.BJ,20250829,36.72,37.4,36.17,37.31,36.63,0.68,1.8564,21727.75,80237.654
920008.BJ,20250828,37.51,37.96,36.1,36.63,37.72,-1.09,-2.8897,29979.34,110709.955
920008.BJ,20250827,38.9,39.14,37.71,37.72,38.84,-1.12,-2.8836,21412.08,81778.786
920008.BJ,20250826,39.7,39.94,38.7,38.84,39.66,-0.82,-2.0676,22392.41,87600.374
920008.BJ,20250825,39.21,39.68,38.34,39.66,39.17,0.49,1.251,29215.04,113578.37
