ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
920976.BJ,20260213,30.6,39.0,30.53,33.15,30.12,3.03,10.0598,69436.11,235886.825
920976.BJ,20260212,30.31,30.6,29.24,30.12,30.04,0.08,0.2663,21482.63,64414.074
920976.BJ,20260211,30.85,31.79,29.8,30.04,29.03,1.01,3.4792,29308.1,89667.552
920976.BJ,20260210,28.55,29.13,28.43,29.03,28.5,0.53,1.8596,8769.12,25317.379
920976.BJ,20260209,28.28,28.6,28.01,28.5,27.73,0.77,2.7768,11170.81,31746.146
920976.BJ,20260206,28.11,28.55,27.73,27.73,27.96,-0.23,-0.8226,8600.98,24156.23
920976.BJ,20260205,30.0,30.0,27.96,27.96,29.67,-1.71,-5.7634,12120.99,34914.328
920976.BJ,20260204,29.85,30.0,29.44,29.67,29.83,-0.16,-0.5364,7638.34,22636.249
920976.BJ,20260203,29.78,30.2,29.39,29.83,29.75,0.08,0.2689,10464.43,31164.335
920976.BJ,20260202,30.02,30.95,29.5,29.75,30.26,-0.51,-1.6854,14348.74,43411.277
920976.BJ,20260130,29.92,31.0,29.68,30.26,29.72,0.54,1.817,18262.05,55615.099
920976.BJ,20260129,29.68,30.25,28.82,29.72,29.61,0.11,0.3715,12214.39,36239.757
920976.BJ,20260128,29.74,30.28,29.38,29.61,29.66,-0.05,-0.1686,7372.54,21924.996
920976.BJ,20260127,29.3,29.68,28.82,29.66,29.68,-0.02,-0.0674,10315.39,30108.819
920976.BJ,20260126,30.1,30.15,29.0,29.68,29.97,-0.29,-0.9676,11094.87,32918.766
920976.BJ,20260123,29.5,30.09,29.2,29.97,29.39,0.58,1.9735,9357.13,27883.192
920976.BJ,20260122,28.95,29.4,28.95,29.39,28.72,0.67,2.3329,9662.68,28253.832
920976.BJ,20260121,29.45,29.65,28.7,28.72,29.56,-0.84,-2.8417,13702.4,39939.164
920976.BJ,20260120,29.94,30.37,29.1,29.56,29.83,-0.27,-0.9051,11382.32,33518.658
920976.BJ,20260119,30.57,30.86,29.3,29.83,30.25,-0.42,-1.3884,17913.32,53375.729
920976.BJ,20260116,31.0,31.27,30.3,30.55,30.53,0.02,0.0655,15228.36,46510.693
920976.BJ,20260115,30.01,30.88,29.54,30.53,30.54,-0.01,-0.0327,19530.45,58920.285
920976.BJ,20260114,29.1,31.65,29.1,30.54,29.8,0.74,2.4832,33596.77,102984.943
920976.BJ,20260113,32.4,32.47,29.77,29.8,30.07,-0.27,-0.8979,39532.15,122214.807
920976.BJ,20260112,28.77,30.4,28.32,30.07,28.6,1.47,5.1399,34652.55,102612.999
920976.BJ,20260109,27.99,29.2,27.8,28.6,28.1,0.5,1.7794,18164.27,51818.094
920976.BJ,20260108,27.8,29.47,27.8,28.1,27.55,0.55,1.9964,16929.93,48271.803
920976.BJ,20260107,27.48,27.71,27.27,27.55,27.52,0.03,0.109,12102.53,33262.648
920976.BJ,20260106,28.05,28.05,27.33,27.52,28.1,-0.58,-2.0641,21765.66,59996.936
920976.BJ,20260105,26.73,28.89,26.4,28.1,26.96,1.14,4.2285,40532.21,112856.193
920976.BJ,20251231,26.7,27.47,26.36,26.96,26.12,0.84,3.2159,21083.23,56856.875
920976.BJ,20251230,25.8,26.36,25.8,26.12,26.11,0.01,0.0383,5799.7,15129.519
920976.BJ,20251229,26.3,26.38,25.73,26.11,26.14,-0.03,-0.1148,5621.76,14540.678
920976.BJ,20251226,26.1,26.15,25.69,26.14,26.11,0.03,0.1149,5201.67,13512.114
920976.BJ,20251225,26.12,26.34,25.91,26.11,26.1,0.01,0.0383,5941.34,15507.196
920976.BJ,20251224,26.08,26.21,25.71,26.1,26.09,0.01,0.0383,4981.59,12992.303
920976.BJ,20251223,26.62,26.62,25.67,26.09,26.42,-0.33,-1.2491,8549.6,22242.851
920976.BJ,20251222,26.44,26.62,26.18,26.42,26.28,0.14,0.5327,10210.31,26901.702
920976.BJ,20251219,25.7,26.42,25.7,26.28,25.84,0.44,1.7028,9369.96,24552.188
920976.BJ,20251218,25.88,25.98,25.6,25.84,25.8,0.04,0.155,5364.32,13863.885
920976.BJ,20251217,25.78,26.38,25.55,25.8,26.04,-0.24,-0.9217,8717.39,22561.45
920976.BJ,20251216,25.8,26.52,25.61,26.04,25.52,0.52,2.0376,15543.35,40522.887
920976.BJ,20251215,25.32,26.01,25.01,25.52,25.32,0.2,0.7899,12193.97,31122.369
920976.BJ,20251212,24.88,25.64,24.76,25.32,25.03,0.29,1.1586,11723.97,29674.756
920976.BJ,20251211,24.4,25.6,24.06,25.03,24.38,0.65,2.6661,13734.68,34049.135
920976.BJ,20251210,24.65,24.76,24.14,24.38,24.61,-0.23,-0.9346,5653.07,13754.936
920976.BJ,20251209,25.09,25.16,24.46,24.61,25.05,-0.44,-1.7565,6681.61,16583.353
920976.BJ,20251208,25.12,25.2,24.77,25.05,25.0,0.05,0.2,7769.93,19423.456
920976.BJ,20251205,24.3,25.0,24.07,25.0,24.26,0.74,3.0503,10839.15,26577.202
920976.BJ,20251204,25.15,25.48,24.25,24.26,25.31,-1.05,-4.1486,16547.36,40760.251
920976.BJ,20251203,26.29,26.29,25.06,25.31,26.27,-0.96,-3.6544,20438.16,52105.654
920976.BJ,20251202,26.0,27.33,25.54,26.27,25.21,1.06,4.2047,33313.4,88577.145
920976.BJ,20251201,24.11,25.48,24.0,25.21,24.2,1.01,4.1736,13093.03,32250.966
920976.BJ,20251128,24.49,24.49,23.72,24.2,24.19,0.01,0.0413,10882.72,26025.789
920976.BJ,20251127,24.43,24.67,24.1,24.19,24.45,-0.26,-1.0634,6728.01,16430.928
920976.BJ,20251126,24.77,24.85,24.11,24.45,24.6,-0.15,-0.6098,5245.35,12846.438
920976.BJ,20251125,24.49,24.95,24.49,24.6,24.49,0.11,0.4492,8460.74,20922.73
920976.BJ,20251124,24.87,24.87,24.15,24.49,24.49,0.0,0.0,7857.84,19187.838
920976.BJ,20251121,25.19,25.38,23.83,24.49,25.07,-0.58,-2.3135,8225.08,20060.72
920976.BJ,20251120,25.7,25.7,24.85,25.07,25.42,-0.35,-1.3769,8339.13,20941.582
920976.BJ,20251119,26.15,26.24,25.2,25.42,26.12,-0.7,-2.6799,6765.81,17320.838
920976.BJ,20251118,26.35,26.35,25.88,26.12,26.05,0.07,0.2687,4637.97,12096.452
920976.BJ,20251117,26.1,26.56,25.83,26.05,26.15,-0.1,-0.3824,6130.98,16071.352
920976.BJ,20251114,26.49,26.78,26.15,26.15,26.72,-0.57,-2.1332,5723.14,15155.586
920976.BJ,20251113,26.85,26.95,26.42,26.72,26.59,0.13,0.4889,6462.86,17270.942
920976.BJ,20251112,26.5,26.8,26.3,26.59,26.4,0.19,0.7197,6096.36,16184.24
920976.BJ,20251111,26.89,26.95,26.26,26.4,26.7,-0.3,-1.1236,6014.63,15989.751
920976.BJ,20251110,26.92,26.92,26.45,26.7,26.72,-0.02,-0.0749,8142.02,21724.401
920976.BJ,20251107,27.03,27.08,26.5,26.72,27.08,-0.36,-1.3294,11975.65,31934.892
920976.BJ,20251106,27.68,27.68,27.0,27.08,27.63,-0.55,-1.9906,6474.03,17634.1
920976.BJ,20251105,26.85,27.79,26.61,27.63,26.95,0.68,2.5232,13170.24,35917.395
920976.BJ,20251104,27.33,27.49,26.63,26.95,27.5,-0.55,-2.0,9536.03,25689.882
920976.BJ,20251103,27.6,27.94,27.2,27.5,27.7,-0.2,-0.722,13185.18,36310.314
920976.BJ,20251031,27.0,28.05,26.7,27.7,27.06,0.64,2.3651,19917.17,54993.846
920976.BJ,20251030,27.58,28.35,27.05,27.06,27.86,-0.8,-2.8715,22704.97,62977.289
920976.BJ,20251029,26.19,27.88,26.05,27.86,26.57,1.29,4.8551,29756.55,80017.772
920976.BJ,20251028,26.4,27.65,26.15,26.57,25.38,1.19,4.6887,31344.54,84122.215
920976.BJ,20251027,25.97,25.97,25.37,25.38,25.75,-0.37,-1.4369,7801.66,19978.476
920976.BJ,20251024,25.53,25.93,25.46,25.75,25.6,0.15,0.5859,5977.73,15345.226
920976.BJ,20251023,25.5,25.71,25.01,25.6,25.85,-0.25,-0.9671,5982.72,15135.438
920976.BJ,20251022,25.79,26.36,25.51,25.85,25.7,0.15,0.5837,9400.37,24459.312
920976.BJ,20251021,25.33,25.84,25.21,25.7,25.38,0.32,1.2608,9798.26,25156.835
920976.BJ,20251020,25.22,25.58,24.7,25.38,25.35,0.03,0.1183,8862.0,22300.324
920976.BJ,20251017,25.79,25.81,24.78,25.35,25.77,-0.42,-1.6298,6397.38,16118.506
920976.BJ,20251016,25.8,26.19,25.65,25.77,25.92,-0.15,-0.5787,5604.65,14485.4
920976.BJ,20251015,25.36,25.98,25.18,25.92,25.35,0.57,2.2485,6411.7,16452.398
920976.BJ,20251014,25.84,25.89,25.31,25.35,25.55,-0.2,-0.7828,5128.26,13113.756
920976.BJ,20251013,25.46,25.93,25.07,25.55,26.39,-0.84,-3.183,6304.89,16120.755
920976.BJ,20251010,25.99,26.46,25.97,26.39,26.06,0.33,1.2663,5810.02,15232.06
920976.BJ,20251009,26.41,26.59,25.95,26.06,26.38,-0.32,-1.213,7997.27,20947.587
920976.BJ,20250930,26.31,27.1,26.16,26.38,26.36,0.02,0.0759,13434.85,35635.371
920976.BJ,20250929,25.36,26.49,25.36,26.36,25.58,0.78,3.0493,11954.97,31166.528
920976.BJ,20250926,25.88,26.0,25.2,25.58,25.88,-0.3,-1.1592,6808.79,17386.495
920976.BJ,20250925,26.53,26.6,25.86,25.88,26.42,-0.54,-2.0439,10911.75,28485.371
920976.BJ,20250924,26.68,26.78,26.26,26.42,26.52,-0.1,-0.3771,11096.76,29346.426
920976.BJ,20250923,27.7,28.1,25.8,26.52,27.89,-1.37,-4.9122,20012.5,53214.573
920976.BJ,20250922,28.5,28.6,27.44,27.89,28.53,-0.64,-2.2433,19330.62,53647.128
920976.BJ,20250919,27.71,28.8,27.5,28.53,27.83,0.7,2.5153,29966.69,84927.661
920976.BJ,20250918,28.55,28.57,27.33,27.83,28.32,-0.49,-1.7302,18575.8,52151.476
920976.BJ,20250917,27.7,28.5,27.7,28.32,27.9,0.42,1.5054,13273.73,37376.111
920976.BJ,20250916,27.51,28.08,27.26,27.9,27.63,0.27,0.9772,12615.07,35063.273
920976.BJ,20250915,27.52,27.94,27.18,27.63,27.61,0.02,0.0724,13135.78,36288.228
920976.BJ,20250912,28.13,28.13,27.51,27.61,28.12,-0.51,-1.8137,15013.66,41716.983
920976.BJ,20250911,28.15,28.2,27.61,28.12,28.31,-0.19,-0.6711,18811.89,52470.878
920976.BJ,20250910,28.8,28.9,28.01,28.31,28.77,-0.46,-1.5989,16286.43,46202.218
920976.BJ,20250909,29.01,29.15,28.07,28.77,29.27,-0.5,-1.7082,21183.92,60298.178
920976.BJ,20250908,30.1,30.16,28.7,29.27,30.17,-0.9,-2.9831,40539.77,118177.84
920976.BJ,20250905,28.34,30.5,28.05,30.17,28.69,1.48,5.1586,57097.35,167462.308
920976.BJ,20250904,27.3,29.03,27.01,28.69,27.15,1.54,5.6722,50648.52,143657.414
920976.BJ,20250903,27.53,27.69,26.8,27.15,27.33,-0.18,-0.6586,10678.1,28943.207
920976.BJ,20250902,26.84,27.81,26.78,27.33,27.08,0.25,0.9232,17873.88,48589.487
920976.BJ,20250901,27.4,27.59,26.79,27.08,27.43,-0.35,-1.276,14176.37,38313.549
920976.BJ,20250829,27.58,28.09,27.39,27.43,27.62,-0.19,-0.6879,14276.3,39571.538
920976.BJ,20250828,27.45,27.66,26.61,27.62,27.42,0.2,0.7294,19935.25,54235.992
920976.BJ,20250827,28.35,28.84,27.42,27.42,27.96,-0.54,-1.9313,26857.5,75781.658
920976.BJ,20250826,28.37,28.5,27.66,27.96,28.3,-0.34,-1.2014,16181.2,45317.997
920976.BJ,20250825,28.12,28.49,27.48,28.3,27.92,0.38,1.361,25452.67,71286.64
920976.BJ,20250822,28.35,28.64,27.56,27.92,28.31,-0.39,-1.3776,21336.48,59651.111
920976.BJ,20250821,29.3,29.34,28.02,28.31,28.78,-0.47,-1.6331,20147.2,57675.568
920976.BJ,20250820,28.02,28.9,27.81,28.78,28.0,0.78,2.7857,25665.34,72981.624
920976.BJ,20250819,27.9,28.81,27.8,28.0,27.81,0.19,0.6832,32148.02,90976.547
920976.BJ,20250818,26.86,28.11,26.68,27.81,26.66,1.15,4.3136,27923.16,77002.921
920976.BJ,20250815,25.62,26.77,25.61,26.66,25.66,1.0,3.8971,12818.56,33807.992
920976.BJ,20250814,26.59,26.68,25.55,25.66,26.6,-0.94,-3.5338,15485.24,40404.054
920976.BJ,20250813,26.86,26.97,26.51,26.6,26.73,-0.13,-0.4863,12045.26,32198.566
920976.BJ,20250812,27.0,27.11,26.7,26.73,26.88,-0.15,-0.558,7411.73,19935.006
